"msgid","msgstr"
"Duplicate customer group found in the customer group table","تم العثور على مجموعة عملاء مكررة في جدول مجموعات العملاء"
"Duplicate entry against the item code {0} and manufacturer {1}","إدخال مكرر مقابل رمز العنصر {0} والشركة المصنعة {1}"
"Duplicate item group found in the item group table","تم العثور علي مجموعه عناصر مكرره في جدول مجموعه الأصناف\
<br>\
Duplicate item group found in the item group table"
"Duplicate project has been created","تم إنشاء مشروع مكرر"
"Duplicate row {0} with same {1}","صف مكرر {0} مع نفس {1}"
"Duplicate {0} found in the table","مكرر {0} موجود في الجدول"
"Duration","المدة الزمنية"
"Duration (Days)","المدة (أيام)"
"Duration in Days","المدة في أيام"
"Duties and Taxes","الرسوم والضرائب"
"Dynamic Condition","شرط ديناميكي"
"Dyne","داين"
"E-Invoicing Information Missing","الفواتير الإلكترونية معلومات مفقودة"
"EAN","EAN"
"EAN-12","EAN-12"
"EAN-8","EAN-8"
"EMU Of Charge","وحدة كهرومغناطيسية للشحنة"
"EMU of current","وحدة كهرومغناطيسية للتيار"
"ERPNext User ID","معرف المستخدم ERPNext"
"Each Transaction","كل عملية"
"Earliest","أولا"
"Earliest Age","أقدم عمر"
"Earnest Money","العربون"
"Edit","تصحيح"
"Edit BOM","تعديل قائمة المواد"
"Edit Capacity","تعديل السعة"
"Edit Cart","تعديل السلة"
"Edit Full Form","تعديل النموذج الكامل"
"Edit Not Allowed","تحرير غير مسموح به"
"Edit Note","تعديل الملاحظة"
"Edit Posting Date and Time","تحرير تاريخ النشر والوقت"
"Edit Receipt","تحرير الإيصال"
"Editing {0} is not allowed as per POS Profile settings","تعديل {0} غير مسموح به حسب إعدادات ملف تعريف نقاط البيع"
"Education","التعليم"
"Educational Qualification","المؤهلات العلمية"
"Either 'Selling' or 'Buying' must be selected","يجب تحديد 'بيع' أو 'شراء'"
"Either Workstation or Workstation Type is mandatory","محطة العمل أو نوع محطة العمل إلزامي"
"Either location or employee must be required","الموقع أو الموظف، أحدهما إلزامي"
"Either target qty or target amount is mandatory","الكمية المستهدفة أو المبلغ المستهدف، أحدهما إلزامي"
"Either target qty or target amount is mandatory.","الكمية المستهدفة أو المبلغ المستهدف، أحدهما إلزامي"
"Electric","كهربائي"
"Electrical","كهربائي"
"Electricity Cost","تكلفة الكهرباء"
"Electricity down","انقطاع الكهرباء"
"Electronic Equipment","معدات إلكترونية"
"Electronic Invoice Register","تسجيل الفاتورة الإلكترونية"
"Electronics","الإلكترونيات"
"Ells (UK)","إلز (المملكة المتحدة)"
"Email","البريد الإلكتروني"
"Email / Notifications","البريد الإلكتروني / الإشعارات"
"Email Account","حساب البريد الإلكتروني"
"Email Address","البريد الالكتروني"
"Email Address (required)","عنوان البريد الإلكتروني (مطلوب)"
"Email Address must be unique, it is already used in {0}","يجب أن يكون عنوان البريد الإلكتروني فريدًا، فهو مستخدم بالفعل في {0}"
"Email Campaign","حملة البريد الإلكتروني"
"Email Campaign For ","حملة البريد الإلكتروني ل"
"Email Details","تفاصيل البريد الإلكتروني"
"Email Digest","ملخص مرسل عن طريق الايميل"
"Email Digest Recipient","مستلم ملخص البريد الإلكتروني"
"Email Digest Settings","إعدادات الملخصات المرسله عبر الايميل"
"Email Digest: {0}","ملخص البريد الإلكتروني: {0}"
"Email Domain","المجال البريد الإلكتروني"
"Email Group","البريد الإلكتروني المجموعة"
"Email Id","البريد الإلكتروني"
"Email Receipt","إيصال البريد الإلكتروني"
"Email Sent","إرسال البريد الإلكتروني"
"Email Sent to Supplier {0}","تم إرسال بريد إلكتروني إلى المورد {0}"
"Email Settings","إعدادات البريد الإلكتروني"
"Email Template","قالب البريد الإلكتروني"
"Email not sent to {0} (unsubscribed / disabled)","البريد الإلكتروني لا يرسل إلى {0} (غير مشترك / غيرمفعل)"
"Email or Phone/Mobile of the Contact are mandatory to continue.","البريد الإلكتروني أو الهاتف/الجوال لجهة الاتصال إلزامي للمتابعة."
"Email sent successfully.","تم إرسال البريد الإلكتروني بنجاح."
"Email sent to","تم ارسال الايميل الي"
"Email sent to {0}","أرسل بريد إلكتروني إلى {0}"
"Email verification failed.","فشل التحقق من البريد الإلكتروني."
"Emails Queued","رسائل البريد الإلكتروني في قائمة الانتظار"
"Emergency Contact","الاتصال في حالات الطوارئ"
"Emergency Contact Name","الطوارئ اسم الاتصال"
"Emergency Phone","هاتف حالات الطوارئ"
"Employee","الموظف"
"Employee ","موظف"
"Employee Advance","تقدم الموظف"
"Employee Advances","سلف الموظفين"
"Employee Detail","تفاصيل الموظف"
"Employee Education","المستوى التعليمي للموظف"
"Employee External Work History","سجل عمل الموظف خارج الشركة"
"Employee Group","مجموعة الموظفين"
"Employee Group Table","جدول مجموعة الموظفين"
"Employee ID","هوية الموظف"
"Employee Internal Work History","سجل عمل الموظف داخل الشركة"
"Employee Name","اسم الموظف"
"Employee Number","رقم الموظف"
"Employee User Id","معرف مستخدم الموظف"
"Employee cannot report to himself.","الموظف لا يمكن أن يقدم تقريرا إلى نفسه.\
<br>\
Employee cannot report to himself."
"Employee is required while issuing Asset {0}","الموظف مطلوب أثناء إصدار الأصول {0}"
"Employee {0} does not belongs to the company {1}","الموظف {0} لا ينتمي للشركة {1}"
"Employee {0} is currently working on another workstation. Please assign another employee.","الموظف {0} يعمل حاليًا في محطة عمل أخرى. يرجى تعيين موظف آخر."
"Employees","الموظفين"
"Empty","فارغة"
"Ems(Pica)","إمز (بيكا)"
"Enable Allow Partial Reservation in the Stock Settings to reserve partial stock.","قم بتمكين السماح بالحجز الجزئي في إعدادات المخزون لحجز مخزون جزئي."
"Enable Appointment Scheduling","تمكين جدولة موعد"
"Enable Auto Email","تفعيل البريد الإلكتروني التلقائي"
"Enable Auto Re-Order","تمكين إعادة الطلب التلقائي"
"Enable Automatic Party Matching","تمكين المطابقة التلقائية للطرف"
"Enable Capital Work in Progress Accounting","تمكين العمل في رأس المال"
"Enable Common Party Accounting","تمكين المحاسبة المشتركة للطرف"
"Enable Cut-Off Date on Bulk Delivery Note Creation","تمكين تاريخ القطع عند إنشاء إذن تسليم مجمع"
"Enable Deferred Expense","تمكين المصروفات المؤجلة"
"Enable Deferred Revenue","تمكين الإيرادات المؤجلة"
"Enable Discount Accounting for Selling","تمكين محاسبة الخصم للبيع"
"Enable European Access","تمكين الوصول الأوروبي"
"Enable Fuzzy Matching","تمكين المطابقة التقريبية"
"Enable Health Monitor","تمكين مراقبة السلامة"
"Enable Immutable Ledger","تمكين دفتر الأستاذ غير القابل للتغيير"
"Enable Perpetual Inventory","تمكين المخزون الدائم"
"Enable Provisional Accounting For Non Stock Items","تمكين المحاسبة المؤقتة للأصناف غير المخزنية"
"Enable Stock Reservation","تمكين حجز المخزون"
"Enable YouTube Tracking","تمكين تتبع يوتيوب"
"Enable it if users want to consider rejected materials to dispatch.","قم بتمكينه إذا كان المستخدمون يريدون اعتبار المواد المرفوضة لإرسالها."
"Enable this checkbox even if you want to set the zero priority","قم بتمكين مربع الاختيار هذا حتى إذا كنت تريد تعيين أولوية صفر"
"Enable this option to calculate daily depreciation by considering the total number of days in the entire depreciation period, (including leap years) while using daily pro-rata based depreciation","قم بتمكين هذا الخيار لحساب الإهلاك اليومي من خلال اعتبار العدد الإجمالي للأيام في فترة الإهلاك بأكملها، (بما في ذلك السنوات الكبيسة) أثناء استخدام الإهلاك القائم على النسبة اليومية"
"Enable to apply SLA on every {0}","قم بتمكين تطبيق اتفاقية مستوى الخدمة على كل {0}"
"Enabled","تمكين"
"Enabling the check box will fetch timesheet on select of a Project in Sales Invoice","سيؤدي تمكين مربع الاختيار إلى جلب جدول الدوام عند تحديد مشروع في فاتورة المبيعات"
"Enabling this checkbox will force each Job Card Time Log to have From Time and To Time","سيؤدي تمكين مربع الاختيار هذا إلى فرض أن يكون لكل سجل وقت لبطاقة العمل وقت بدء ووقت انتهاء"
"Enabling this ensures each Purchase Invoice has a unique value in Supplier Invoice No. field within a particular fiscal year","يضمن تمكين هذا أن يكون لكل فاتورة شراء قيمة فريدة في حقل رقم فاتورة المورد خلال سنة مالية معينة"
"Enabling this option will allow you to record - <br><br> 1. Advances Received in a <b>Liability Account</b> instead of the <b>Asset Account</b><br><br>2. Advances Paid in an <b>Asset Account</b> instead of the <b> Liability Account</b>","سيسمح لك تمكين هذا الخيار بتسجيل - <br><br> 1. الدفعات المقدمة المستلمة في <b>حساب التزام</b> بدلاً من <b>حساب الأصول</b><br><br>2. الدفعات المقدمة المدفوعة في <b>حساب أصول</b> بدلاً من <b>حساب الالتزام</b>"
"Enabling this will allow creation of multi-currency invoices against single party account in company currency","سيسمح تمكين هذا بإنشاء فواتير متعددة العملات مقابل حساب طرف واحد بعملة الشركة"
"Enabling this will change the way how cancelled transactions are handled.","سيغير تمكين هذا طريقة التعامل مع المعاملات الملغاة."
"Encashment Date","تاريخ التحصيل"
"End Date","نهاية التاريخ"
"End Date cannot be before Start Date.","لا يمكن أن يكون تاريخ الانتهاء قبل تاريخ البدء."
"End Time","وقت الانتهاء"
"End Transit","إنهاء العبور"
"End Year","نهاية السنة"
"End Year cannot be before Start Year","نهاية العام لا يمكن أن يكون قبل بداية العام"
"End date cannot be before start date","لا يمكن أن يكون تاريخ الانتهاء قبل تاريخ البدء"
"End date of current invoice's period","تاريخ نهاية فترة الفاتورة الحالية"
"End of Life","نهاية الحياة"
"End of the current subscription period","نهاية فترة الاشتراك الحالية"
"Energy","الطاقة"
"Enforce Time Logs","فرض سجلات الوقت"
"Engineer","مهندس"
"Enough Parts to Build","يكفي لبناء أجزاء"
"Ensure Delivery Based on Produced Serial No","ضمان التسليم على أساس المسلسل المنتجة"
"Enter API key in Google Settings.","أدخل مفتاح API في إعدادات Google."
"Enter First and Last name of Employee, based on Which Full Name will be updated. IN transactions, it will be Full Name which will be fetched.","أدخل الاسم الأول والأخير للموظف، وبناءً عليه سيتم تحديث الاسم الكامل. في المعاملات، سيتم جلب الاسم الكامل."
"Enter Manually","إدخال يدوي"
"Enter Serial Nos","أدخل الأرقام التسلسلية"
"Enter Supplier","أدخل المورد"
"Enter Value","أدخل القيمة"
"Enter Visit Details","أدخل تفاصيل الزيارة"
"Enter a name for Routing.","أدخل اسمًا للمسار."
"Enter a name for the Operation, for example, Cutting.","أدخل اسمًا للعملية، على سبيل المثال، القطع."
"Enter a name for this Holiday List.","أدخل اسمًا لقائمة العطلات هذه."
"Enter amount to be redeemed.","أدخل المبلغ المراد استرداده."
"Enter an Item Code, the name will be auto-filled the same as Item Code on clicking inside the Item Name field.","أدخل رمز الصنف، سيتم ملء الاسم تلقائيًا بنفس رمز الصنف عند النقر داخل حقل اسم الصنف."
"Enter customer's email","أدخل البريد الإلكتروني الخاص بالعميل"
"Enter customer's phone number","أدخل رقم هاتف العميل"
"Enter date to scrap asset","أدخل تاريخ تخريد الأصل"
"Enter depreciation details","أدخل تفاصيل الاستهلاك"
"Enter discount percentage.","أدخل نسبة الخصم."
"Enter each serial no in a new line","أدخل كل رقم تسلسلي في سطر جديد"
"Enter the Bank Guarantee Number before submitting.","أدخل رقم الضمان البنكي قبل الإرسال."
"Enter the Operation, the table will fetch the Operation details like Hourly Rate, Workstation automatically.

 After that, set the Operation Time in minutes and the table will calculate the Operation Costs based on the Hourly Rate and Operation Time.","أدخل العملية، سيقوم الجدول بجلب تفاصيل العملية مثل السعر بالساعة، محطة العمل تلقائيًا.

 بعد ذلك، قم بتعيين وقت العملية بالدقائق وسيقوم الجدول بحساب تكاليف العملية بناءً على السعر بالساعة ووقت العملية."
"Enter the name of the Beneficiary before submitting.","أدخل اسم المستفيد قبل الإرسال."
"Enter the name of the bank or lending institution before submitting.","أدخل اسم البنك أو المؤسسة المقرضة قبل الإرسال."
"Enter the opening stock units.","أدخل وحدات المخزون الافتتاحي."
"Enter the quantity of the Item that will be manufactured from this Bill of Materials.","أدخل كمية الصنف التي سيتم تصنيعها من قائمة المواد هذه."
"Enter the quantity to manufacture. Raw material Items will be fetched only when this is set.","أدخل الكمية المطلوب تصنيعها. سيتم جلب أصناف المواد الخام فقط عند تعيين هذا."
"Enter {0} amount.","أدخل مبلغ {0}."
"Entertainment & Leisure","الترفيه والتسلية"
"Entertainment Expenses","نفقات الترفيه"
"Entity","كيان"
"Entity Type","نوع الكيان"
"Entry Type","نوع الدخول"
"Equity","حقوق الملكية"
"Equity/Liability Account","حساب الأسهم / المسؤولية"
"Erg","إرج"
"Error","خطأ"
"Error Description","وصف خاطئ"
"Error Log","سجل الأخطاء"
"Error Message","رسالة خطأ"
"Error Occurred","حدث خطأ"
"Error during caller information update","خطأ أثناء تحديث معلومات المتصل"
"Error evaluating the criteria formula","حدث خطأ أثناء تقييم صيغة المعايير"
"Error in party matching for Bank Transaction {0}","خطأ في مطابقة الطرف للمعاملة البنكية {0}"
"Error while posting depreciation entries","خطأ أثناء ترحيل قيود الإهلاك"
"Error while processing deferred accounting for {0}","خطأ أثناء معالجة المحاسبة المؤجلة لـ {0}"
"Error while reposting item valuation","خطأ أثناء إعادة ترحيل تقييم الصنف"
"Error: Not a valid id?","خطأ: ليس معرفًا صالحًا؟"
"Error: This asset already has {0} depreciation periods booked.
					The `depreciation start` date must be at least {1} periods after the `available for use` date.
					Please correct the dates accordingly.","خطأ: هذا الأصل لديه بالفعل {0} فترات إهلاك مسجلة.
					يجب أن يكون تاريخ `بدء الإهلاك` على الأقل {1} فترات بعد تاريخ `الإتاحة للاستخدام`.
					يرجى تصحيح التواريخ وفقًا لذلك."
"Error: {0} is mandatory field","الخطأ: {0} هو حقل إلزامي"
"Errors Notification","إشعار الأخطاء"
"Estimated Arrival","الوصول المتوقع"
"Estimated Cost","التكلفة التقديرية"
"Estimated Time and Cost","الوقت المقدر والتكلفة"
"Evaluation Period","فترة التقييم"
"Even invoices with apply tax withholding unchecked will be considered for checking cumulative threshold breach","حتى الفواتير التي لم يتم تحديد تطبيق ضريبة الخصم من المنبع لها سيتم أخذها في الاعتبار للتحقق من تجاوز الحد التراكمي"
"Event","حدث"
"Ex Works","تسليم المصنع"
"Example URL","مثال على عنوان URL"
"Example of a linked document: {0}","مثال على مستند مرتبط: {0}"
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","مثال: ABCD.#####
إذا تم تعيين السلسلة ولم يتم ذكر الرقم التسلسلي في المعاملات، فسيتم إنشاء رقم تسلسلي تلقائي بناءً على هذه السلسلة. إذا كنت تريد دائمًا ذكر الأرقام التسلسلية صراحةً لهذا الصنف، فاترك هذا فارغًا."
"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.","مثال: ABCD. #####. إذا تم ضبط المسلسل ولم يتم ذكر رقم الدفعة في المعاملات ، فسيتم إنشاء رقم الدفعة تلقائيًا استنادًا إلى هذه السلسلة. إذا كنت تريد دائمًا الإشارة صراحة إلى Batch No لهذا العنصر ، فاترك هذا فارغًا. ملاحظة: سيأخذ هذا الإعداد الأولوية على بادئة Naming Series في إعدادات المخزون."
"Example: Serial No {0} reserved in {1}.","مثال: الرقم التسلسلي {0} محجوز في {1}."
"Exception Budget Approver Role","دور الموافقة على الموازنة الاستثنائية"
"Excess Materials Consumed","المواد الزائدة المستهلكة"
"Excess Transfer","نقل زائد"
"Excessive machine set up time","وقت إعداد الماكينة المفرط"
"Exchange Gain / Loss","مكاسب / خسائر الصرف"
"Exchange Gain / Loss Account","حساب الربح / الخسارة الناتتج عن الصرف"
"Exchange Gain Or Loss","مكاسب أو خسائر الصرف"
"Exchange Gain/Loss","أرباح / خسائر الناتجة عن صرف العملة"
"Exchange Gain/Loss amount has been booked through {0}","تم تسجيل مبلغ مكاسب/خسائر الصرف من خلال {0}"
"Exchange Rate","سعر الصرف"
"Exchange Rate Revaluation","إعادة تقييم سعر الصرف"
"Exchange Rate Revaluation Account","حساب إعادة تقييم سعر الصرف"
"Exchange Rate Revaluation Settings","إعدادات إعادة تقييم سعر الصرف"
"Exchange Rate must be same as {0} {1} ({2})","يجب أن يكون سعر الصرف نفس {0} {1} ({2})"
"Excise Entry","الدخول المكوس"
"Excise Invoice","المكوس الفاتورة"
"Excise Page Number","رقم صفحة الضريبة"
"Excluded DocTypes","أنواع المستندات المستبعدة"
"Execution","تنفيذ"
"Executive Assistant","مساعد تنفيذي"
"Executive Search","البحث التنفيذي"
"Exempt Supplies","الإمدادات المعفاة"
"Exhibition","معرض"
"Existing Company","الشركة القائمة"
"Existing Company ","الشركة الحالية"
"Existing Customer","عميل حالي"
"Exit","خروج"
"Exit Interview Held On","أجريت مقابلة الخروج"
"Expand All","توسيع الكل"
"Expected","متوقع"
"Expected Amount","المبلغ المتوقع"
"Expected Arrival Date","وصول التاريخ المتوقع"
"Expected Balance Qty","كمية الرصيد المتوقعة"
"Expected Closing Date","تاريخ الإغلاق المتوقع"
"Expected Delivery Date","تاريخ التسليم المتوقع"
"Expected Delivery Date should be after Sales Order Date","يجب أن يكون تاريخ التسليم المتوقع بعد تاريخ أمر المبيعات"
"Expected End Date","تاريخ الإنتهاء المتوقع"
"Expected End Date should be less than or equal to parent task's Expected End Date {0}.","يجب أن يكون تاريخ الانتهاء المتوقع أقل من أو يساوي تاريخ الانتهاء المتوقع للمهمة الأصل {0}."
"Expected Hrs","الساعات المتوقعة"
"Expected Start Date","تاريخ البدأ المتوقع"
"Expected Stock Value","قيمة المخزون المتوقعة"
"Expected Time (in hours)","الوقت المتوقع (بالساعات)"
"Expected Time Required (In Mins)","الوقت المتوقع المطلوب (بالدقائق)"
"Expected Value After Useful Life","القيمة المتوقعة بعد حياة مفيدة"
"Expense","نفقة"
"Expense / Difference account ({0}) must be a 'Profit or Loss' account","حساب نفقات / قروق ({0}) يجب ان يكون حساب ارباح و خسائر"
"Expense Account","حساب النفقات"
"Expense Account Missing","حساب المصاريف مفقود"
"Expense Claim","طلب النفقات"
"Expense Head","عنوان المصروف"
"Expense Head Changed","تغيير رأس المصاريف"
"Expense account is mandatory for item {0}","اجباري حساب النفقات للصنف {0}"
"Expense account {0} not present in Purchase Invoice {1}","حساب المصروف {0} غير موجود في فاتورة الشراء {1}"
"Expenses","النفقات"
"Expenses Included In Asset Valuation","النفقات المدرجة في تقييم الأصول"
"Expenses Included In Valuation","المصروفات متضمنة في تقييم السعر"
"Experimental","تجريبي"
"Expired","انتهى"
"Expired Batches","دفعات منتهية الصلاحية"
"Expires On","تنتهي صلاحيته في"
"Expiry","انتهاء الصلاحية"
"Expiry (In Days)","انتهاء (في يوم)"
"Expiry Date","تاريخ انتهاء الصلاحية"
"Expiry Date Mandatory","تاريخ الانتهاء إلزامي"
"Expiry Duration (in days)","مدة الصلاحية (بالأيام)"
"Exploded Items","العناصر المتفجرة"
"Exponential Smoothing Forecasting","تنبؤ تجانس أسي"
"Export Data","تصدير البيانات"
"Export E-Invoices","تصدير الفواتير الإلكترونية"
"Export Errored Rows","تصدير الصفوف الخطأ"
"Export Import Log","تصدير سجل الاستيراد"
"External","خارجي"
"External Work History","سجل العمل الخارجي"
"Extra Consumed Qty","كمية مستهلكة إضافية"
"Extra Job Card Quantity","كمية بطاقة عمل إضافية"
"Extra Large","كبير جدا"
"Extra Small","صغير جدا"
"FIFO","FIFO"
"FIFO Queue","قائمة انتظار FIFO"
"FIFO Queue vs Qty After Transaction Comparison","مقارنة قائمة انتظار FIFO مقابل الكمية بعد المعاملة"
"FIFO Stock Queue (qty, rate)","قائمة انتظار مخزون FIFO (الكمية، السعر)"
"FIFO/LIFO Queue","قائمة انتظار FIFO/LIFO"
"Fahrenheit","فهرنهايت"
"Failed","باءت بالفشل"
"Failed Entries","الإدخالات الفاشلة"
"Failed to Authenticate the API key.","فشل مصادقة مفتاح API."
"Failed to erase demo data, please delete the demo company manually.","فشل في مسح بيانات العرض التوضيحي، يرجى حذف شركة العرض التوضيحي يدويًا."
"Failed to install presets","فشل في تثبيت الإعدادات المسبقة"
"Failed to login","فشل في تسجيل الدخول"
"Failed to post depreciation entries","فشل في ترحيل قيود الإهلاك"
"Failed to setup company","أخفق إعداد الشركة"
"Failed to setup defaults","فشل في إعداد الإعدادات الافتراضية"
"Failed to setup defaults for country {0}. Please contact support.","فشل في إعداد الإعدادات الافتراضية للبلد {0}. يرجى الاتصال بالدعم."
"Failure","بالفشل"
"Failure Date","تاريخ الفشل"
"Failure Description","وصف الفشل"
"Failure: {0}","فشل: {0}"
"Family Background","معلومات عن العائلة"
"Faraday","فراداي"
"Fathom","قَامَة"
"Fax","فاكس"
"Feedback","التقييم"
"Feedback By","ردود الفعل من"
"Fees","رسوم"
"Fetch Based On","جلب بناءً على"
"Fetch Customers","جلب العملاء"
"Fetch Items from Warehouse","جلب العناصر من المستودع"
"Fetch Latest Exchange Rate","جلب أحدث سعر صرف"
"Fetch Overdue Payments","جلب المدفوعات المتأخرة"
"Fetch Subscription Updates","جلب تحديثات الاشتراك"
"Fetch Timesheet","جلب جدول الدوام"
"Fetch Timesheet in Sales Invoice","جلب جدول الدوام في فاتورة المبيعات"
"Fetch Value From","جلب القيمة من"
"Fetch exploded BOM (including sub-assemblies)","جلب BOM انفجرت (بما في ذلك المجالس الفرعية)"
"Fetch items based on Default Supplier.","جلب العناصر على أساس المورد الافتراضي."
"Fetched only {0} available serial numbers.","تم جلب {0} أرقام تسلسلية متاحة فقط."
"Fetching Error","خطأ في الجلب"
"Fetching exchange rates ...","جارٍ جلب أسعار الصرف ..."
"Fetching...","جارٍ الجلب..."
"Field","حقل"
"Field Mapping","رسم الخرائط الميدانية"
"Field Name","اسم الحقل"
"Field in Bank Transaction","الحقل في المعاملات المصرفية"
"Fieldname","اسم الحقل"
"Fields","الحقول"
"Fields will be copied over only at time of creation.","سيتم نسخ الحقول فقط في وقت الإنشاء."
"Fieldtype","نوع الحقل"
"File to Rename","إعادة تسمية الملف"
"Filter","منقي"
"Filter Based On","عامل التصفية على أساس"
"Filter Duration (Months)","مدة الفلتر (شهور)"
"Filter Total Zero Qty","تصفية مجموع صفر الكمية"
"Filter by Reference Date","تصفية حسب تاريخ المرجع"
"Filter by invoice status","تصفية حسب حالة الفاتورة"
"Filter on Invoice","تصفية على الفاتورة"
"Filter on Payment","تصفية على الدفع"
"Filters","فلاتر"
"Filters missing","عوامل التصفية مفقودة"
"Final BOM","قائمة المواد النهائية"
"Final Product","المنتج النهائي"
"Finance Book","دفتر المالية"
"Finance Book Detail","تفاصيل دفتر المالية"
"Finance Book Id","رقم دفتر تمويل"
"Finance Books","دفاتر المالية"
"Finance Manager","مدير مالي"
"Financial Ratios","النسب المالية"
"Financial Reports","التقارير المالية"
"Financial Services","الخدمات المالية"
"Financial Statements","البيانات المالية"
"Financial Year Begins On","تبدأ السنة المالية في"
"Financial reports will be generated using GL Entry doctypes (should be enabled if Period Closing Voucher is not posted for all years sequentially or missing) ","سيتم إنشاء التقارير المالية باستخدام أنواع مستندات قيد دفتر الأستاذ العام (يجب تمكينه إذا لم يتم ترحيل قسيمة إقفال الفترة لجميع السنوات بالتسلسل أو إذا كانت مفقودة) "
"Finish","إنهاء"
"Finished","تم الانتهاء من"
"Finished Good","جيد جيد"
"Finished Good BOM","قائمة مواد المنتج النهائي"
"Finished Good Item","صنف المنتج النهائي"
"Finished Good Item Code","انتهى رمز السلعة جيدة"
"Finished Good Item Qty","كمية صنف المنتج النهائي"
"Finished Good Item Quantity","كمية صنف المنتج النهائي"
"Finished Good Item is not specified for service item {0}","لم يتم تحديد صنف المنتج النهائي لصنف الخدمة {0}"
"Finished Good Item {0} Qty can not be zero","لا يمكن أن تكون كمية صنف المنتج النهائي {0} صفرًا"
"Finished Good Item {0} must be a sub-contracted item","يجب أن يكون صنف المنتج النهائي {0} صنفًا متعاقدًا عليه من الباطن"
"Finished Good Qty","كمية المنتج النهائي"
"Finished Good Quantity ","كمية المنتج النهائي "
"Finished Good Serial / Batch","رقم تسلسلي / دفعة المنتج النهائي"
"Finished Good UOM","وحدة قياس المنتج النهائي"
"Finished Good {0} does not have a default BOM.","المنتج النهائي {0} ليس له قائمة مواد افتراضية."
"Finished Good {0} is disabled.","المنتج النهائي {0} معطل."
"Finished Good {0} must be a stock item.","يجب أن يكون المنتج النهائي {0} صنفًا مخزنيًا."
"Finished Good {0} must be a sub-contracted item.","يجب أن يكون المنتج النهائي {0} صنفًا متعاقدًا عليه من الباطن."
"Finished Goods","السلع تامة الصنع"
"Finished Goods / Semi Finished Goods Item","صنف السلع الجاهزة / السلع نصف المصنعة"
"Finished Goods Based Operating Cost","تكلفة التشغيل القائمة على السلع الجاهزة"
"Finished Goods Item","صنف السلع الجاهزة"
"Finished Goods Qty","كمية السلع الجاهزة"
"Finished Goods Reference","مرجع السلع الجاهزة"
"Finished Goods Value","قيمة السلع الجاهزة"
"Finished Goods Warehouse","مستودع البضائع الجاهزة"
"Finished Goods based Operating Cost","تكلفة التشغيل القائمة على السلع الجاهزة"
"Finished Item {0} does not match with Work Order {1}","الصنف النهائي {0} لا يتطابق مع أمر العمل {1}"
"First Email","البريد الإلكتروني الأول"
"First Name","الاسم الأول"
"First Responded On","أجاب أولا على"
"First Response Due","موعد الاستجابة الأولى"
"First Response SLA Failed by {}","فشل اتفاقية مستوى الخدمة للاستجابة الأولى بواسطة {}"
"First Response Time","وقت الاستجابة الأول"
"First Response Time for Issues","وقت الاستجابة الأول للمشكلات"
"First Response Time for Opportunity","وقت الاستجابة الأول للفرصة"
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}","النظام المالي إلزامي ، يرجى تعيين النظام المالي في الشركة {0}"
"Fiscal Year","السنة المالية"
"Fiscal Year Company","السنة المالية للشركة"
"Fiscal Year End Date should be one year after Fiscal Year Start Date","يجب أن يكون تاريخ انتهاء السنة المالية بعد سنة واحدة من تاريخ بدء السنة المالية"
"Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0}","تم تحديد تاريخ بداية السنة المالية و تاريخ نهاية السنة المالية للسنة المالية {0}"
"Fiscal Year {0} Does Not Exist","السنة المالية {0} غير موجودة"
"Fiscal Year {0} does not exist","السنة المالية {0} غير موجودة"
"Fiscal Year {0} is required","السنة المالية {0} مطلوبة"
"Fixed","ثابت"
"Fixed Asset","الأصول الثابتة"
"Fixed Asset Account","حساب الأصول الثابتة"
"Fixed Asset Defaults","إعدادات الأصول الثابتة الافتراضية"
"Fixed Asset Item must be a non-stock item.","يجب أن يكون بند الأصول الثابتة عنصرا غير مخزون.<br>\
Fixed Asset Item must be a non-stock item."
"Fixed Asset Register","سجل الأصول الثابتة"
"Fixed Assets","الاصول الثابتة"
"Fixed Deposit Number","رقم الوديعة الثابتة"
"Fixed Rate","سعر الصرف الثابت"
"Fixed Time","وقت ثابت"
"Fleet Manager","مدير قافلة المركبات"
"Floor","الطابق"
"Floor Name","اسم الطابق"
"Fluid Ounce (UK)","أونصة سائلة (المملكة المتحدة)"
"Fluid Ounce (US)","أونصة سائلة (الولايات المتحدة)"
"Focus on Item Group filter","التركيز على عامل تصفية مجموعة العناصر"
"Focus on search input","ركز على إدخال البحث"
"Folio no.","فوليو نو."
"Follow Calendar Months","اتبع التقويم الأشهر"
"Following Material Requests have been raised automatically based on Item's re-order level","تم رفع طلبات المواد التالية تلقائيا بناء على مستوى اعادة الطلب للبنود"
"Following fields are mandatory to create address:","الحقول التالية إلزامية لإنشاء العنوان:"
"Food, Beverage & Tobacco","الأغذية والمشروبات والتبغ"
"Foot","قدم"
"Foot Of Water","قدم ماء"
"Foot/Minute","قدم/دقيقة"
"Foot/Second","قدم/ثانية"
"For","لأجل"
